Number of Devices Configurations: 20;;;;;;;;;;;;;;;;;;;;
Fixed Source: Voltage Source 2;;;;;;;;;;;;;;;;;;;;
Fixed Source Value: 0,010000509846000;;;;;;;;;;;;;;;;;;;;
Variable Source: Voltage Source 1;;;;;;;;;;;;;;;;;;;;
Variable Source Sweep from -0,499938586319000  To 0,500018809701000 With 500 Steps;;;;;;;;;;;;;;;;;;;;
Display Measurement: ;;;;;;;;;;;;;;;;;;;;
ADC Gain: 10;;;;;;;;;;;;;;;;;;;;
Sense Resistor 1: 100;;;;;;;;;;;;;;;;;;;;
Sense Resistor 2: 998;;;;;;;;;;;;;;;;;;;;
Time to Wait After Each Sweep (ms): 1000;;;;;;;;;;;;;;;;;;;;
Delay after each Step inside sweep (us): 200;;;;;;;;;;;;;;;;;;;;
Number of ADC readings at each setpoint (for averages):  2;;;;;;;;;;;;;;;;;;;;
forward and backward sweep: FALSE;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
2025-04-14_11h41m01s,81m;;;;;;;;;;;;;;;;;;;;
Variable Source;dev1;dev2;dev3;dev4;dev5;dev6;dev7;dev8;dev9;dev10;dev11;dev12;dev13;dev14;dev15;dev16;dev17;Dev 18;Dev 19;Dev 20
-0,499938586;-1,53839E-06;-6,02625E-07;1,03853E-08;3,38642E-08;2,31446E-08;1,5482E-08;7,89202E-08;1,12666E-08;5,03166E-08;7,20339E-08;4,79013E-08;5,2645E-08;5,61091E-08;7,07962E-08;1,14485E-08;1,36295E-08;8,52092E-08;3,56441E-08;9,57531E-08;8,39248E-09
-0,497934664;-1,5258E-06;-5,94851E-07;1,04536E-08;3,39389E-08;2,27736E-08;1,5508E-08;7,87929E-08;1,13973E-08;5,04612E-08;7,17733E-08;4,79162E-08;5,30687E-08;5,57589E-08;7,04927E-08;1,13941E-08;1,33036E-08;8,44858E-08;3,58154E-08;9,55167E-08;8,53677E-09
-0,495930741;-1,51324E-06;-5,87599E-07;1,05208E-08;3,39868E-08;2,24229E-08;1,55293E-08;7,86555E-08;1,15196E-08;5,05994E-08;7,15094E-08;4,79221E-08;5,34606E-08;5,5423E-08;7,0184E-08;1,13457E-08;1,2997E-08;8,37782E-08;3,59672E-08;9,52685E-08;8,67885E-09
-0,493926818;-1,50071E-06;-5,8087E-07;1,05868E-08;3,40079E-08;2,20925E-08;1,55461E-08;7,8508E-08;1,16335E-08;5,07311E-08;7,12424E-08;4,7919E-08;5,38208E-08;5,51014E-08;6,98702E-08;1,13031E-08;1,27096E-08;8,30863E-08;3,60998E-08;9,50085E-08;8,81871E-09
-0,491922896;-1,48822E-06;-5,74663E-07;1,06517E-08;3,40021E-08;2,17824E-08;1,55582E-08;7,83503E-08;1,1739E-08;5,08562E-08;7,09723E-08;4,79068E-08;5,41492E-08;5,4794E-08;6,95511E-08;1,12663E-08;1,24415E-08;8,24102E-08;3,6213E-08;9,47367E-08;8,95635E-09
-0,489918973;-1,47576E-06;-5,68978E-07;1,07155E-08;3,39696E-08;2,14926E-08;1,55657E-08;7,81824E-08;1,18362E-08;5,09749E-08;7,0699E-08;4,78856E-08;5,44458E-08;5,4501E-08;6,92269E-08;1,12355E-08;1,21926E-08;8,17498E-08;3,63069E-08;9,44532E-08;9,09178E-09
-0,48791505;-1,46334E-06;-5,63816E-07;1,07781E-08;3,39102E-08;2,12231E-08;1,55685E-08;7,80044E-08;1,1925E-08;5,10872E-08;7,04225E-08;4,78554E-08;5,47107E-08;5,42222E-08;6,88975E-08;1,12105E-08;1,19629E-08;8,11052E-08;3,63815E-08;9,41578E-08;9,22498E-09
-0,485911128;-1,45095E-06;-5,59177E-07;1,08395E-08;3,38239E-08;2,09739E-08;1,55668E-08;7,78163E-08;1,20055E-08;5,11929E-08;7,01428E-08;4,78162E-08;5,49439E-08;5,39578E-08;6,85629E-08;1,11914E-08;1,17525E-08;8,04764E-08;3,64367E-08;9,38507E-08;9,35597E-09
-0,483907205;-1,4386E-06;-5,55059E-07;1,08998E-08;3,37109E-08;2,0745E-08;1,55604E-08;7,7618E-08;1,20775E-08;5,12922E-08;6,986E-08;4,7768E-08;5,51452E-08;5,37077E-08;6,82231E-08;1,11782E-08;1,15614E-08;7,98633E-08;3,64725E-08;9,35317E-08;9,48474E-09
-0,481903283;-1,42629E-06;-5,51465E-07;1,09589E-08;3,3571E-08;2,05364E-08;1,55494E-08;7,74096E-08;1,21412E-08;5,13849E-08;6,9574E-08;4,77107E-08;5,53149E-08;5,34718E-08;6,78782E-08;1,11709E-08;1,13895E-08;7,9266E-08;3,64891E-08;9,3201E-08;9,61129E-09
-0,47989936;-1,41401E-06;-5,48392E-07;1,10169E-08;3,34043E-08;2,03481E-08;1,55338E-08;7,7191E-08;1,21966E-08;5,14712E-08;6,92849E-08;4,76444E-08;5,54527E-08;5,32503E-08;6,7528E-08;1,11694E-08;1,12368E-08;7,86844E-08;3,64863E-08;9,28585E-08;9,73563E-09
-0,477895437;-1,40176E-06;-5,45842E-07;1,10738E-08;3,32108E-08;2,01801E-08;1,55136E-08;7,69622E-08;1,22435E-08;5,15511E-08;6,89925E-08;4,75691E-08;5,55588E-08;5,3043E-08;6,71727E-08;1,11738E-08;1,11034E-08;7,81186E-08;3,64642E-08;9,25041E-08;9,85775E-09
-0,475891515;-1,38955E-06;-5,43815E-07;1,11295E-08;3,29904E-08;2,00324E-08;1,54888E-08;7,67233E-08;1,22821E-08;5,16244E-08;6,8697E-08;4,74848E-08;5,56332E-08;5,28501E-08;6,68122E-08;1,11841E-08;1,09892E-08;7,75686E-08;3,64227E-08;9,2138E-08;9,97765E-09
-0,473887592;-1,37738E-06;-5,42309E-07;1,1184E-08;3,27432E-08;1,9905E-08;1,54593E-08;7,64743E-08;1,23123E-08;5,16913E-08;6,83984E-08;4,73915E-08;5,56758E-08;5,26714E-08;6,64465E-08;1,12002E-08;1,08942E-08;7,70344E-08;3,63619E-08;9,17602E-08;1,00953E-08
-0,471883669;-1,36524E-06;-5,41327E-07;1,12374E-08;3,24692E-08;1,97979E-08;1,54252E-08;7,62151E-08;1,23342E-08;5,17516E-08;6,80966E-08;4,72891E-08;5,56866E-08;5,25071E-08;6,60756E-08;1,12223E-08;1,08185E-08;7,65159E-08;3,62818E-08;9,13705E-08;1,02108E-08
-0,469879747;-1,35313E-06;-5,40866E-07;1,12896E-08;3,21684E-08;1,97112E-08;1,53865E-08;7,59457E-08;1,23476E-08;5,18055E-08;6,77916E-08;4,71778E-08;5,56657E-08;5,2357E-08;6,56996E-08;1,12502E-08;1,07621E-08;7,60131E-08;3,61823E-08;9,0969E-08;1,0324E-08
-0,467875824;-1,34106E-06;-5,40928E-07;1,13407E-08;3,18407E-08;1,96447E-08;1,53432E-08;7,56662E-08;1,23527E-08;5,18529E-08;6,74834E-08;4,70574E-08;5,56131E-08;5,22212E-08;6,53183E-08;1,1284E-08;1,07249E-08;7,55261E-08;3,60635E-08;9,05557E-08;1,04351E-08
-0,465871901;-1,32903E-06;-5,41513E-07;1,13907E-08;3,14862E-08;1,95985E-08;1,52952E-08;7,53766E-08;1,23495E-08;5,18939E-08;6,71721E-08;4,69279E-08;5,55286E-08;5,20998E-08;6,49319E-08;1,13237E-08;1,07069E-08;7,50549E-08;3,59254E-08;9,01307E-08;1,05439E-08
-0,463867979;-1,31703E-06;-5,4262E-07;1,14394E-08;3,11049E-08;1,95726E-08;1,52426E-08;7,50768E-08;1,23379E-08;5,19283E-08;6,68576E-08;4,67895E-08;5,54124E-08;5,19926E-08;6,45403E-08;1,13692E-08;1,07082E-08;7,45995E-08;3,57679E-08;8,96938E-08;1,06505E-08
-0,461864056;-1,30507E-06;-5,44249E-07;1,14871E-08;3,06968E-08;1,9567E-08;1,51854E-08;7,47668E-08;1,23178E-08;5,19563E-08;6,65399E-08;4,6642E-08;5,52645E-08;5,18997E-08;6,41435E-08;1,14206E-08;1,07287E-08;7,41598E-08;3,55911E-08;8,92452E-08;1,07548E-08
-0,459860134;-1,29314E-06;-5,464E-07;1,15336E-08;3,02618E-08;1,95817E-08;1,51236E-08;7,44467E-08;1,22895E-08;5,19778E-08;6,62191E-08;4,64856E-08;5,50848E-08;5,18212E-08;6,37415E-08;1,14779E-08;1,07685E-08;7,37358E-08;3,5395E-08;8,87848E-08;1,0857E-08
-0,457856211;-1,28124E-06;-5,49074E-07;1,15789E-08;2,98E-08;1,96168E-08;1,50572E-08;7,41165E-08;1,22527E-08;5,19928E-08;6,58951E-08;4,63201E-08;5,48734E-08;5,17569E-08;6,33344E-08;1,15411E-08;1,08275E-08;7,33277E-08;3,51795E-08;8,83126E-08;1,09569E-08
-0,455852288;-1,26939E-06;-5,52271E-07;1,16231E-08;2,93114E-08;1,96721E-08;1,49861E-08;7,37761E-08;1,22076E-08;5,20013E-08;6,5568E-08;4,61455E-08;5,46302E-08;5,17069E-08;6,29221E-08;1,16101E-08;1,09057E-08;7,29353E-08;3,49447E-08;8,78286E-08;1,10547E-08
